"aou","CommonName","sci_name","Breeding.Biome","migclass","Foraging","Trophic.Group"
7420,"Wrentit","Chamaea fasciata","Aridlands","resid","foliage glean","insectivore"
4310,"Anna's Hummingbird","Calypte anna","Aridlands","resid","hover/glean","nectarivore"
5911,"California Towhee","Melozone crissalis","Aridlands","resid","ground glean","insct/om"
6690,"Hermit Warbler","Setophaga occidentalis","Western Forest","neotrop","foliage glean","insectivore"
7100,"California Thrasher","Toxostoma redivivum","Aridlands","resid","ground glean","insectivore"
7020,"Sage Thrasher","Oreoscoptes montanus","Aridlands","short","ground glean","insectivore"
7170,"Canyon Wren","Catherpes mexicanus","Aridlands","resid","ground glean","insectivore"
3990,"White-headed Woodpecker","Dryobates albolarvatus","Western Forest","resid","bark glean","insectivore"
5730,"Black-throated Sparrow","Amphispiza bilineata","Aridlands","short","ground glean","insct/om"
7330,"Oak Titmouse","Baeolophus inornatus","Western Forest","resid","foliage glean","insectivore"
5120,"Great-tailed Grackle","Quiscalus mexicanus","Habitat Generalist","resid","ground glean","omnivore"
4000,"Black-backed Woodpecker","Picoides arcticus","Boreal Forest","resid","bark glean","insectivore"
5900,"Green-tailed Towhee","Pipilo chlorurus","Aridlands","neotrop","ground glean","insct/om"
3090,"Sage Grouse",NA,NA,"resid","ground glean","herbivore"
4920,"Pinyon Jay","Gymnorhinus cyanocephalus","Western Forest","resid","ground glean","omnivore"
7331,"Juniper Titmouse","Baeolophus ridgwayi","Western Forest","resid","foliage glean","insct/om"
6440,"Virginia's Warbler","Oreothlypis virginiae","Western Forest","neotrop","ground glean","insectivore"
4290,"Black-chinned Hummingbird","Archilochus alexandri","Western Forest","neotrop","hover/glean","nectarivore"
6970,"American Pipit","Anthus rubescens","Arctic Tundra","neotrop","ground glean","insectivore"
2970,"Blue Grouse",NA,NA,"resid","ground glean","herbivore"
5780,"Cassin's Sparrow","Peucaea cassinii","Grassland","short","ground glean","insct/om"
4480,"Cassin's Kingbird","Tyrannus vociferans","Western Forest","neotrop","hawks","insectivore"
3880,"Black-billed Cuckoo","Coccyzus erythropthalmus","Eastern Forest","neotrop","foliage glean","insectivore"
6590,"Chestnut-sided Warbler","Setophaga pensylvanica","Eastern Forest","neotrop","foliage glean","insct/om"
6540,"Black-throated Blue Warbler","Setophaga caerulescens","Boreal Forest","neotrop","hover/glean","insectivore"
6860,"Canada Warbler","Cardellina canadensis","Boreal Forest","neotrop","hover/glean","insectivore"
6620,"Blackburnian Warbler","Setophaga fusca","Boreal Forest","neotrop","foliage glean","insct/om"
2882,"Chukar","Alectoris chukar","Introduced","resid","ground glean","granivore"
2950,"Gambel's Quail","Callipepla gambelii","Aridlands","resid","ground glean","granivore"
7240,"Sedge Wren","Cistothorus platensis","Grassland","short","ground glean","insectivore"
6883,"Eurasian Tree Sparrow","Passer montanus","Introduced","resid","ground glean","insct/om"
5470,"Henslow's Sparrow","Centronyx henslowii","Grassland","short","ground glean","insct/om"
3190,"White-winged Dove","Zenaida asiatica","Aridlands","short","ground glean","granivore"
3050,"Greater Prairie-Chicken","Tympanuchus cupido","Grassland","resid","ground glean","granivore"
4630,"Yellow-bellied Flycatcher","Empidonax flaviventris","Boreal Forest","neotrop","hawks","insectivore"
6600,"Bay-breasted Warbler","Setophaga castanea","Boreal Forest","neotrop","foliage glean","insectivore"
6720,"Palm Warbler","Setophaga palmarum","Boreal Forest","neotrop","ground glean","insectivore"
6500,"Cape May Warbler","Setophaga tigrina","Boreal Forest","neotrop","foliage glean","insectivore"
6420,"Golden-winged Warbler","Vermivora chrysoptera","Eastern Forest","neotrop","foliage glean","insectivore"
2930,"Scaled Quail","Callipepla squamata","Aridlands","resid","ground glean","granivore"
3960,"Ladder-backed Woodpecker","Dryobates scalaris","Aridlands","resid","bark glean","insectivore"
5040,"Scott's Oriole","Icterus parisorum","Western Forest","neotrop","foliage glean","insct/om"
5650,"Black-chinned Sparrow","Spizella atrogularis","Aridlands","short","ground glean","insct/om"
5910,"Canyon Towhee","Melozone fusca","Aridlands","resid","ground glean","insct/om"
6090,"Hepatic Tanager","Piranga flava","Western Forest","neotrop","foliage glean","insct/om"
6340,"Gray Vireo","Vireo vicinior","Western Forest","neotrop","foliage glean","insectivore"
7070,"Curve-billed Thrasher","Toxostoma curvirostre","Aridlands","short","ground glean","insectivore"
4870,"Chihuahuan Raven","Corvus cryptoleucus","Aridlands","resid","ground glean","omnivore"
7130,"Cactus Wren","Campylorhynchus brunneicapillus","Aridlands","resid","ground glean","insectivore"
7080,"Bendire's Thrasher","Toxostoma bendirei","Aridlands","short","ground glean","insectivore"
4810,"Western Scrub-Jay",NA,NA,"resid","ground glean","omnivore"
7571,"Bicknell's Thrush",NA,NA,"neotrop","ground glean","insectivore"
5920,"Abert's Towhee","Melozone aberti","Aridlands","resid","ground glean","insct/om"
6430,"Lucy's Warbler","Oreothlypis luciae","Aridlands","short","foliage glean","insectivore"
7120,"Crissal Thrasher","Toxostoma crissale","Aridlands","resid","ground glean","insectivore"
7460,"Verdin","Auriparus flaviceps","Aridlands","resid","foliage glean","insectivore"
7520,"Black-tailed Gnatcatcher","Polioptila melanura","Aridlands","resid","foliage glean","insectivore"
