"country","stateroute","stops","common_label","deltaCover"
"US",14220,"26-50","Forest",-0.00590138107342265
"US",14221,"1-25","Grasslands",-0.0023063032275352
"US",14221,"26-50","Shrubland",-0.0033969739791606
"US",14225,"1-25","Agricultural",-0.00372833326141056
"US",14225,"26-50","Agricultural",-0.00613468551220068
"US",14226,"1-25","Grasslands",-0.0048583527515348
"US",14226,"26-50","Grasslands",-0.00335204424742324
"US",14302,"1-25","Shrubland",0.00762186980571677
"US",14302,"26-50","Shrubland",0.00685809307597623
"US",14303,"1-25","Urban",0.00437457559650643
"US",14303,"26-50","Agricultural",-0.00462556963044885
"US",14341,"1-25","Grasslands",0.0113879176761513
"US",14341,"26-50","Forest",-0.00474063991484088
"US",14352,"1-25","Grasslands",-0.00322054954691612
"US",14352,"26-50","Agricultural",-0.000878009986770958
"US",14402,"1-25","Forest",-0.00494750680196128
"US",14402,"26-50","Urban",0.00285315418848773
"US",14405,"1-25","Forest",-0.00693408430872128
"US",14405,"26-50","Forest",-0.00773555025341504
"US",14406,"1-25","Shrubland",0.00498904164176132
"US",14406,"26-50","Barren",-0.00117363028486934
"US",14407,"1-25","Grasslands",0.00721062070845705
"US",14407,"26-50","Grasslands",0.00894564219180476
"US",14408,"1-25","Forest",0.00244518542340176
"US",14408,"26-50","Agricultural",-0.00244012369039217
"US",14412,"1-25","Forest",0.0102827529150992
"US",14412,"26-50","Grasslands",-0.000706208393492184
"US",14413,"1-25","Forest",0.00520917678812416
"US",14413,"26-50","Forest",0.00607618560438912
"US",14414,"1-25","Grasslands",-0.00359674979131885
"US",14414,"26-50","Wetlands",0.00187031713721895
"US",14415,"1-25","Agricultural",-0.00323244024046866
"US",14415,"26-50","Shrubland",0.010955819464113
"US",14419,"1-25","Shrubland",0.00333729180355539
"US",14419,"26-50","Forest",-0.00400500939261116
"US",14420,"1-25","Forest",-0.00277684134566192
"US",14420,"26-50","Shrubland",0.0015860057279784
"US",14423,"1-25","Shrubland",0.0104078475703173
"US",14423,"26-50","Shrubland",0.0160897589596762
"US",14429,"1-25","Shrubland",0.00428567838817161
"US",14429,"26-50","Shrubland",0.0042963836834702
"US",14433,"1-25","Shrubland",0.00265548311736744
"US",14433,"26-50","Shrubland",0.00608786336446636
"US",14436,"1-25","Shrubland",0.00331669717423636
"US",14436,"26-50","Shrubland",0.00818581385512256
"US",14503,"1-25","Urban",0.00381140536937154
"US",14503,"26-50","Urban",0.0031284744144505
"US",14536,"1-25","Shrubland",0.00882490471767608
"US",14536,"26-50","Shrubland",0.00246062648507884
