"aou","propFor","min_for","max_for","patchArea","std_patch","for_range"
3050,0.0198694837553962,0.0198694837553962,0.0198694837553962,24.2130325814536,NA,0
3080,0.0286425765273837,0.00054242690833637,0.114787127407471,27.1962991608652,24.5046121929307,0.114244700499135
3090,0.00485971464138658,0.00485971464138658,0.00485971464138658,27.0666666666667,NA,0
3091,0.129237408264872,0.00022548909076669,0.446867219194429,84.1900349586474,89.9018829762309,0.446641730103663
3100,0.38835237160918,0.0539667439759934,0.827067728838002,342.087751105413,533.20632218706,0.773100984862008
3110,0.0123444394241121,0.0123444394241121,0.0123444394241121,19.2434782608696,NA,0
3120,0.629640044638906,0.406735698854311,0.858721492475742,867.146329744865,1056.36664232509,0.451985793621431
3131,0.293623959097019,0.00196677803039669,0.769807299062483,350.891844661037,966.765191345997,0.767840521032087
3160,0.350807574355473,0.00130960296713294,0.825373897089544,460.719942713699,1187.3797475951,0.824064294122411
3180,0.0123444394241121,0.0123444394241121,0.0123444394241121,19.2434782608696,NA,0
3190,0.0932752935604727,6.80401169571023e-05,0.432784910862006,106.535377468215,161.237060976726,0.432716870745049
3200,0.237071826946003,0.0155030956773705,0.424865331668696,88.9877839704729,77.4499225412137,0.409362235991326
3210,0.129287628990389,0.00883838288539193,0.398036786632867,77.3073777832547,76.9541113626609,0.389198403747475
3850,0.183230072139502,0.000173432047389997,0.556462512646688,114.814867807944,122.8180756736,0.556289080599298
3870,0.389870185165975,0.0322742071950675,0.816135677593374,312.070040253859,414.02115280455,0.783861470398306
3880,0.435752249945141,0.0256103705792564,0.846622181862804,1030.34244851816,2578.54133410839,0.821011811283547
3920,0.347363269795475,0.0438219010660193,0.628988062967546,208.978811072991,272.76973826041,0.585166161901527
3930,0.546224693232834,0.0965869316490195,0.864320174197282,1405.81816880108,5086.0929701713,0.767733242548262
3940,0.427098122279886,0.0468417885200919,0.836877716705125,553.113577610656,1499.8234730412,0.790035928185033
3950,0.311805400497148,0.256809095130325,0.36680170586397,123.952385987196,56.68830825844,0.109992610733646
3960,0.125834334025906,0.000193264207148805,0.458622153180943,127.652167926412,155.204004450261,0.458428888973794
3970,0.247521772516127,0.135296134759498,0.359747410272756,129.145000663923,29.2380344506613,0.224451275513258
3990,0.714745035496233,0.627394762154959,0.810216166429203,877.904699673257,637.681995943269,0.182821404274243
4000,0.520506032842409,0.419494578209525,0.640464660852949,341.936076780837,154.568474726795,0.220970082643424
4010,0.493438642302903,0.493438642302903,0.493438642302903,246.509547738693,NA,0
4020,0.591936523935353,0.173932672619852,0.860970533911612,1499.08082297905,3249.8225146474,0.68703786129176
4021,0.615543340118738,0.223038349988436,0.898132605526244,2639.78493560122,3612.56954919064,0.675094255537808
4030,0.724343652205244,0.579312783240839,0.893412160313995,7793.84020452268,21056.145922629,0.314099377073157
4040,0.433666254704533,0.232845087315955,0.634487422093112,302.421618919627,308.084081292506,0.401642334777156
4050,0.525430890623896,0.106244530964605,0.86714400642114,1073.59703481212,4435.63404984493,0.760899475456535
4060,0.257742388664536,0.00378059642079891,0.626716785439284,139.325960797539,114.667526408613,0.622936189018485
4070,0.449922069320528,0.122878125098197,0.797226027368578,837.535385145704,1177.97680921471,0.674347902270382
4080,0.515742643367773,0.294269972345207,0.742972023002885,701.125929036046,709.382123269807,0.448702050657677
4090,0.351114759040557,0.0258611405566566,0.752813361123664,255.032421729992,374.635812595663,0.726952220567007
4100,0.0371003961288507,0.00617479285982504,0.0900958498473547,23.8604095620237,7.36445840286295,0.0839210569875297
4110,0.122998304936508,0.122998304936508,0.122998304936508,208.713780918728,NA,0
4120,0.401167366152206,0.0199195073707268,0.836420243100424,720.259706551635,2448.44522735562,0.816500735729697
4123,0.74214252265653,0.74214252265653,0.74214252265653,1816.31460674157,NA,0
4130,0.411627745470157,0.00355909301627505,0.88158527949214,1916.77611459237,7432.19319004661,0.878026186475865
4140,0.122998304936508,0.122998304936508,0.122998304936508,208.713780918728,NA,0
4220,0.881256800303486,0.881256800303486,0.881256800303486,3644.74137931034,NA,0
4230,0.377447693658039,0.0252016947851434,0.800584628905989,295.544594966711,429.739425726971,0.775382934120846
4240,0.554330877617869,0.183349101462569,0.848622310289735,929.466546540648,1260.72103469736,0.665273208827166
4250,0.284637961484209,0.0232471026486226,0.640831280542215,344.563568991507,513.272865577233,0.617584177893592
4280,0.505981469653716,0.0983905544603113,0.841045129955784,697.371128058417,1561.89989686782,0.742654575495473
4290,0.175201101558047,0.00308430268133057,0.473196899212403,151.21642556107,159.365140762587,0.470112596531073
4310,0.433635371853222,0.160235165372082,0.678125358612763,350.996460700418,344.348586790538,0.51789019324068
4320,0.520065717132651,0.122223593209845,0.896219971283339,998.045980210749,1169.80355280369,0.773996378073494
4330,0.631580315460535,0.247844835428323,0.881408406082865,2600.57856011824,3566.74490073062,0.633563570654542
4360,0.496102406885336,0.348025015344833,0.703556483483948,505.764731484914,523.103854616849,0.355531468139115
4430,0.265312337684777,0.00925961614196857,0.710469181632823,189.27771630787,331.526526322907,0.701209565490854
4440,0.34930095840618,0.00447140713530656,0.797325327030891,418.56480100408,1147.5151009952,0.792853919895584
4450,0.250698394534011,0.250698394534011,0.250698394534011,83.8676988036594,NA,0
