"max_bins","stateroute","year_bin","n_years","n_bins"
5,3115,2007,4,5
5,3115,2012,4,5
5,3117,1992,4,5
5,3117,1997,5,5
5,3117,2002,5,5
5,3117,2007,5,5
5,3117,2012,5,5
5,3118,1992,5,5
5,3118,1997,5,5
5,3118,2002,5,5
5,3118,2007,4,5
5,3118,2012,5,5
5,3119,1992,5,5
5,3119,1997,5,5
5,3119,2002,5,5
5,3119,2007,5,5
5,3119,2012,5,5
5,3180,1992,3,5
5,3180,1997,4,5
5,3180,2002,4,5
5,3180,2007,4,5
5,3180,2012,4,5
5,3192,1992,4,5
5,3192,1997,5,5
5,3192,2002,5,5
5,3192,2007,5,5
5,3192,2012,5,5
5,3224,1992,5,5
5,3224,1997,5,5
5,3224,2002,5,5
5,3224,2007,5,5
5,3224,2012,5,5
5,3284,1992,4,5
5,3284,1997,5,5
5,3284,2002,5,5
5,3284,2007,5,5
5,3284,2012,4,5
5,3318,1992,5,5
5,3318,1997,5,5
5,3318,2002,3,5
5,3318,2007,3,5
5,3318,2012,5,5
5,3319,1992,5,5
5,3319,1997,5,5
5,3319,2002,5,5
5,3319,2007,5,5
5,3319,2012,5,5
5,3372,1992,4,5
5,3372,1997,5,5
5,3372,2002,5,5
5,3372,2007,5,5
5,3372,2012,4,5
5,3403,1992,4,5
5,3403,1997,4,5
5,3403,2002,5,5
5,3403,2007,5,5
5,3403,2012,5,5
5,3404,1992,3,5
5,3404,1997,5,5
5,3404,2002,5,5
5,3404,2007,5,5
5,3404,2012,4,5
5,3408,1992,4,5
5,3408,1997,5,5
5,3408,2002,5,5
5,3408,2007,5,5
5,3408,2012,5,5
5,3409,1992,4,5
5,3409,1997,5,5
5,3409,2002,5,5
5,3409,2007,5,5
5,3409,2012,5,5
5,3411,1992,3,5
5,3411,1997,3,5
5,3411,2002,4,5
5,3411,2007,4,5
5,3411,2012,4,5
5,3418,1992,4,5
5,3418,1997,4,5
5,3418,2002,5,5
5,3418,2007,5,5
5,3418,2012,5,5
5,3419,1992,4,5
5,3419,1997,5,5
5,3419,2002,5,5
5,3419,2007,5,5
5,3419,2012,5,5
5,3420,1992,4,5
5,3420,1997,4,5
5,3420,2002,5,5
5,3420,2007,5,5
5,3420,2012,5,5
5,3423,1992,3,5
5,3423,1997,5,5
5,3423,2002,5,5
5,3423,2007,5,5
5,3423,2012,5,5
5,3425,1992,4,5
5,3425,1997,3,5
5,3425,2002,3,5
5,3425,2007,3,5
5,3425,2012,4,5
5,3429,1992,4,5
5,3429,1997,5,5
5,3429,2002,5,5
5,3429,2007,4,5
5,3429,2012,4,5
5,6012,1992,5,5
5,6012,1997,5,5
5,6012,2002,5,5
5,6012,2007,5,5
5,6012,2012,5,5
5,6013,1992,4,5
5,6013,1997,4,5
5,6013,2002,4,5
5,6013,2007,4,5
5,6013,2012,4,5
5,6014,1992,5,5
5,6014,1997,5,5
5,6014,2002,5,5
5,6014,2007,5,5
5,6014,2012,4,5
5,6018,1992,5,5
5,6018,1997,5,5
5,6018,2002,5,5
5,6018,2007,5,5
5,6018,2012,3,5
5,6020,1992,5,5
5,6020,1997,5,5
5,6020,2002,5,5
5,6020,2007,3,5
5,6020,2012,3,5
5,6025,1992,5,5
5,6025,1997,5,5
5,6025,2002,5,5
5,6025,2007,5,5
5,6025,2012,3,5
5,6028,1992,5,5
5,6028,1997,5,5
